Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT demoqa,Chrome 142.0.7444.60,,,16-11-2025 05:03:42,16-11-2025 05:05:59,2m - 17.643s,PASSED
,,,,,,,
Test Cases/Valid Input DDT,Chrome 142.0.7444.60,,,16-11-2025 05:03:43,16-11-2025 05:04:31,48.003s,PASSED
"DATA BINDING - {""currentaddress"":""Jl. A"",""dateofbirth"":""26 Oct 1998"",""firstname"":""Prima"",""gender"":""Male"",""hobbies"":""Sports"",""city"":""Delhi"",""subjects"":""Maths"",""mobile"":""1234567890"",""state"":""NCR"",""email"":""primahutapea@gmail.com"",""picture"":""C:\\Users\\Prima_Hutapea\\Katalon Studio\\demoqa.com\\Data Files\\Take Home Test_updated.pdf"",""lastname"":""Hutapea""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.60,,,16-11-2025 05:03:43,16-11-2025 05:03:47,3.452s,PASSED
maximizeWindow(),Chrome 142.0.7444.60,,,16-11-2025 05:03:47,16-11-2025 05:03:47,0.075s,PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.60,,,16-11-2025 05:03:47,16-11-2025 05:04:13,26.501s,PASSED
"verifyTextPresent(""Practice Form"", false)",Chrome 142.0.7444.60,,,16-11-2025 05:04:13,16-11-2025 05:04:14,0.696s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Name_firstName""), firstname)",Chrome 142.0.7444.60,,,16-11-2025 05:04:14,16-11-2025 05:04:15,0.989s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Name_lastName""), lastname)",Chrome 142.0.7444.60,,,16-11-2025 05:04:15,16-11-2025 05:04:16,0.722s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 142.0.7444.60,,,16-11-2025 05:04:16,16-11-2025 05:04:16,0.754s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/label_Gender_custom-control-label""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:16,16-11-2025 05:04:17,0.431s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_(10 Digits)_userNumber""), mobile)",Chrome 142.0.7444.60,,,16-11-2025 05:04:17,16-11-2025 05:04:17,0.702s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""), dateofbirth)",Chrome 142.0.7444.60,,,16-11-2025 05:04:17,16-11-2025 05:04:19,1.084s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:19,16-11-2025 05:04:19,0.459s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/select_November 2025_react-datepicker__mont_4b2ba3""), ""9"", true)",Chrome 142.0.7444.60,,,16-11-2025 05:04:19,16-11-2025 05:04:20,1.071s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/select_October 2025_react-datepicker__year-select""), ""1998"", true)",Chrome 142.0.7444.60,,,16-11-2025 05:04:20,16-11-2025 05:04:22,2.222s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Sa_react-datepicker__day react-datepick_cb92dc""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:22,16-11-2025 05:04:23,0.503s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Subjects_subjects-auto-complete__value-_d244cf""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:23,16-11-2025 05:04:23,0.424s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Subjects_subjectsInput""), ""a"")",Chrome 142.0.7444.60,,,16-11-2025 05:04:23,16-11-2025 05:04:24,0.883s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Maths_react-select-2-option-1""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:24,16-11-2025 05:04:25,0.610s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/label_Hobbies_custom-control-label""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:25,16-11-2025 05:04:25,0.578s,PASSED
projectDir = getProjectDir(),Chrome 142.0.7444.60,,,16-11-2025 05:04:25,16-11-2025 05:04:25,0.002s,PASSED
"pdfPath = projectDir + ""/Data Files/Take Home Test_updated.pdf""",Chrome 142.0.7444.60,,,16-11-2025 05:04:25,16-11-2025 05:04:25,0.000s,PASSED
"println(""PDF PATH = "" + pdfPath)",Chrome 142.0.7444.60,,,16-11-2025 05:04:25,16-11-2025 05:04:25,0.016s,PASSED
assert File(pdfPath).exists(),Chrome 142.0.7444.60,,,16-11-2025 05:04:25,16-11-2025 05:04:25,0.014s,PASSED
"waitForElementVisible(findTestObject(""valid input 1/Page_DEMOQA/input_Select picture_uploadPicture""), 10)",Chrome 142.0.7444.60,,,16-11-2025 05:04:25,16-11-2025 05:04:26,0.400s,PASSED
"uploadFile(findTestObject(""valid input 1/Page_DEMOQA/input_Select picture_uploadPicture""), pdfPath)",Chrome 142.0.7444.60,,,16-11-2025 05:04:26,16-11-2025 05:04:26,0.305s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/textarea_Current Address_currentAddress""), currentaddress)",Chrome 142.0.7444.60,,,16-11-2025 05:04:26,16-11-2025 05:04:27,0.689s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Select State_css-1gtu0rj-indicatorContainer""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:27,16-11-2025 05:04:27,0.466s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Select State_react-select-3-option-0""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:27,16-11-2025 05:04:28,0.490s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Select City_css-1gtu0rj-indicatorContainer""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:28,16-11-2025 05:04:28,0.619s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/div_Select City_react-select-4-option-0""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:28,16-11-2025 05:04:29,0.574s,PASSED
"click(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/button_Delhi_submit""))",Chrome 142.0.7444.60,,,16-11-2025 05:04:29,16-11-2025 05:04:30,0.640s,PASSED
"verifyTextPresent(""Thanks for submitting the form"", false)",Chrome 142.0.7444.60,,,16-11-2025 05:04:30,16-11-2025 05:04:30,0.530s,PASSED
closeBrowser(),Chrome 142.0.7444.60,,,16-11-2025 05:04:30,16-11-2025 05:04:31,0.472s,PASSED
,,,,,,,
Test Cases/Valid Input DDT,Chrome 142.0.7444.60,,,16-11-2025 05:04:31,16-11-2025 05:04:54,23.530s,PASSED
"DATA BINDING - {""currentaddress"":""Jl. B"",""dateofbirth"":""05 Feb 2000"",""firstname"":""Susi"",""gender"":""Female"",""hobbies"":""Reading"",""city"":""Karnal"",""subjects"":""Arts"",""mobile"":""1111111111"",""state"":""Haryana"",""email"":""susi@yahoo.com"",""picture"":""C:\\Users\\Prima_Hutapea\\Katalon Studio\\demoqa.com\\Data Files\\Take Home Test_updated.pdf"",""lastname"":""Susanti""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.60,,,16-11-2025 05:04:31,16-11-2025 05:04:32,1.480s,PASSED
maximizeWindow(),Chrome 142.0.7444.60,,,16-11-2025 05:04:32,16-11-2025 05:04:32,0.067s,PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.60,,,16-11-2025 05:04:32,16-11-2025 05:04:38,5.174s,PASSED
"verifyTextPresent(""Practice Form"", false)",Chrome 142.0.7444.60,,,16-11-2025 05:04:38,16-11-2025 05:04:39,1.716s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Name_firstName""), firstname)",Chrome 142.0.7444.60,,,16-11-2025 05:04:39,16-11-2025 05:04:40,0.763s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Name_lastName""), lastname)",Chrome 142.0.7444.60,,,16-11-2025 05:04:40,16-11-2025 05:04:41,0.663s,PASSED
"setText(findTestObject(""Object Repository/valid input 1/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 142.0.7444.60,,,16-11-2025 05:04:41,16-11-2025 05:04:41,0.634s,PASSED
